Country Code,2012
ABW,37.75569
AND,
AFG,
AGO,
ALB,58.56549
ARB,25.98412
ARE,16.55895
ARG,78.97288
ARM,45.62385
ASM,
ATG,23.48624
AUS,85.41392
AUT,72.31488
AZE,20.43846
BDI,3.66913
BEL,71.24437
BEN,13.42122
BFA,4.55828
BGD,13.38656
BGR,62.74134
BHR,41.08677
BHS,
BIH,
BLR,90.43713
BLZ,24.3329
BMU,30.8026
BOL,
BRA,
BRB,
BRN,22.5535
BTN,9.4413
BWA,18.07154
CAF,2.77416
CAN,
CEB,64.60601
CHE,55.4999
CHI,
CHL,79.44691
CHN,27.18443
CIV,
CMR,
COG,10.43946
COL,46.21575
COM,8.59989
CPV,20.12141
CRI,49.32474
CSS,23.06213
CUB,64.45275
CUW,
CYM,
CYP,45.86359
CZE,65.86197
DEU,
DJI,
DMA,
DNK,79.25263
DOM,46.72693
DZA,32.23133
EAP,27.76401
EAS,30.87508
ECA,51.85919
ECS,63.12709
ECU,39.86351
EGY,27.61831
EMU,67.26799
ERI,
ESP,85.54599
EST,72.10183
ETH,8.14473
EUU,66.17328
FCS,11.23465
FIN,93.28063
FJI,
FRA,59.98763
FRO,
FSM,
GAB,
GBR,59.22314
GEO,29.20942
GHA,12.18241
GIN,9.89186
GMB,
GNB,
GNQ,
GRC,110.26312
GRD,
GRL,
GTM,
GUM,
GUY,12.48062
HIC,75.03963
HKG,60.58629
HND,20.49557
HPC,7.67297
HRV,61.66721
HTI,
HUN,59.79731
IDN,30.65633
IMN,
IND,24.36533
INX,
IRL,67.63531
IRN,54.89906
IRQ,
ISL,82.22758
ISR,67.79533
ITA,65.03444
JAM,29.06177
JOR,47.58631
JPN,61.45817
KAZ,51.32379
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KSV,
KWT,
LAC,42.24999
LAO,17.07804
LBN,45.57901
LBR,11.63857
LBY,
LCA,10.17779
LCN,43.40965
LDC,8.85019
LIC,9.14096
LIE,42.49668
LKA,17.16244
LMC,23.03523
LMY,25.51285
LSO,10.823
LTU,77.23182
LUX,19.40741
LVA,65.56071
MAC,56.03069
MAF,
MAR,19.28785
MCO,
MDA,40.10864
MDG,4.08568
MDV,
MEA,34.44156
MEX,28.30744
MHL,42.86175
MIC,28.35236
MKD,40.84611
MLI,6.87478
MLT,45.53358
MMR,13.52817
MNA,33.53121
MNE,
MNG,58.73871
MNP,
MOZ,5.05311
MRT,5.20095
MUS,38.65997
MWI,
MYS,37.21254
NAC,90.91132
NAM,
NCL,
NER,1.71459
NGA,
NIC,
NLD,78.50107
NOC,64.39623
NOR,73.25146
NPL,
NZL,80.84335
OEC,77.78673
OED,70.69429
OMN,
OSS,12.34655
PAK,9.93023
PAN,44.14989
PER,
PHL,31.29874
PLW,
PNG,
POL,72.84839
PRI,86.56501
PRK,
PRT,68.58554
PRY,
PSS,
PYF,
QAT,11.93219
ROU,
RUS,76.11465
RWA,6.55378
SAS,21.19963
SAU,48.56231
SDN,14.94187
SEN,
SGP,
SLB,
SLE,
SLV,28.62897
SMR,59.849
SOM,
SRB,52.37703
SSA,8.32957
SSD,
SSF,8.32558
SST,14.48543
STP,8.25875
SUR,
SVK,56.04699
SVN,86.32315
SWE,69.61607
SWZ,
SXM,
SYC,1.29534
SYR,31.83422
TCA,
TCD,
TGO,10.32146
THA,51.56916
TJK,22.41332
TKM,
TLS,
TON,
TTO,
TUN,35.177
TUR,69.30195
TUV,
TZA,3.93347
UGA,
UKR,82.12613
UMC,34.20129
URY,
USA,94.84228
UZB,
VCT,
VEN,
VIR,
VNM,25.02092
VUT,
PSE,48.17982
WLD,32.27898
WSM,
YEM,
ZAF,18.99404
COD,7.92246
ZMB,
ZWE,5.86867
