population	downloads	country
104	1	 Federated States of Micronesia
2076	2	 Lesotho
13587	3	 Chad
11911	3	 South Sudan
259	3	 Vanuatu
186	4	 São Tomé and Príncipe
10817	5	 Burundi
6316	5	 Sierra Leone
184	6	 Saint Lucia
109	6	 Saint Vincent and the Grenadines
32	7	 Collectivity of Saint Martin
192	7	 Samoa
32	8	 San Marino
59	9	 Cayman Islands
91	12	 Antigua and Barbuda
1928	16	 The Gambia
1801	18	 Guinea-Bissau
56	19	 Greenland
19114	19	 Niger
770	22	 Comoros
87	22	 Isle of Man
72	27	 Dominica
514	30	 Cape Verde
65	46	 Bermuda
37	47	 Liechtenstein
106	49	 Grenada
55	50	 Saint Kitts and Nevis
383	50	 The Bahamas
104	52	 U.S. Virgin Islands
1269	56	 Swaziland
7464	72	 Papua New Guinea
38	76	 Monaco
55	76	 Northern Mariana Islands
2403	77	 Namibia
1212	78	 Timor-Leste
572	81	 Solomon Islands
156	89	 Curaçao
48	102	 Faroe Islands
103	104	 Aruba
169	113	 Guam
16695	158	 Malawi
24229	160	 Angola
2220	167	 Botswana
8296	176	 Tajikistan
352	181	 Belize
10518	181	 Somalia
821	192	 Equatorial Guinea
4397	208	 Liberia
876	211	 Djibouti
280	234	 French Polynesia
283	240	 Barbados
17086	252	 Mali
765	259	 Bhutan
266	280	 New Caledonia
7115	280	 Togo
73	297	 Andorra
31628	356	 Afghanistan
401	438	 Maldives
4505	464	 Republic of the Congo
11342	552	 Rwanda
37783	629	 Uganda
1688	669	 Gabon
5307	765	 Turkmenistan
5836	776	 Kyrgyzstan
38	829	 Sint Maarten
2910	1026	 Mongolia
7962	1030	 Honduras
91	1090	 Seychelles
74877	1144	 Democratic Republic of the Congo
27216	1162	 Mozambique
10598	1302	 Benin
2721	1313	 Jamaica
1362	1348	 Bahrain
15246	1628	 Zimbabwe
6014	1731	 Nicaragua
23572	1779	 Madagascar
3970	1852	 Mauritania
6108	1992	 El Salvador
417	2077	 Brunei
1354	2195	 Trinidad and Tobago
153278	2282	 Cambodia
3727	2594	 Georgia
622	2619	 Montenegro
10406	3856	 Dominican Republic
44864	4138	 Kenya
26787	4449	 Ghana
1154	4484	 Cyprus
6553	4581	 Paraguay
12276	4834	 Guinea
51823	5173	 Tanzania
9535	5753	 Azerbaijan
327	5824	 Iceland
30758	5945	 Uzbekistan
2172	5958	 Qatar
17589	5978	 Burkina Faso
16015	6002	 Guatemala
6259	6075	 Libya
3753	6321	 Kuwait
53437	6387	 Myanmar (Burma)
3868	6430	 Panama
427	6687	 Malta
4236	6920	 Oman
5137	7059	 Norway
4510	7360	 New Zealand
14673	7642	 Senegal
4547	7668	 Lebanon
2076	7776	 Macedonia (FYROM)
1315	8072	 Estonia
1261	8174	 Mauritius
2894	8272	 Albania
22157	8529	 Côte d'Ivoire
26184	9065	 Yemen
5639	10864	 Denmark
22773	11021	 Cameroon
28175	11893	 Nepal
556	11958	 Luxembourg
3556	11994	 Moldova
3548	12162	 Puerto Rico
3006	13449	 Armenia
3818	13580	 Bosnia and Herzegovina
10562	14194	 Bolivia
96959	14525	 Ethiopia
9086	14575	 United Arab Emirates
39350	15109	 Sudan
11379	18435	 Cuba
5462	20402	 Finland
54002	20441	 South Africa
17289	20940	 Kazakhstan
8216	24702	 Israel
8188	25019	 Nigeria
4758	26690	 Costa Rica
5419	26930	 Slovakia
20771	27841	 Sri Lanka
22158	28510	 Syria
9696	29373	 Sweden
3420	30073	 Uruguay
1994	35693	 Latvia
23470	40545	 Australia
2062	40809	 Slovenia
2932	44260	 Lithuania
67726	58423	 Thailand
159078	60256	 Bangladesh
8546	61566	 Austria
10525	63983	 Czech Republic
7129	64397	 Serbia
7224	67289	 Bulgaria
6607	67420	 Jordan
30887	71393	 Saudi Arabia
4616	74381	 Ireland
9470	74564	 Belarus
5470	74909	 Singapore
4238	75514	 Croatia
34812	85187	 Iraq
99139	92100	 Philippines
8188	97632	 Switzerland
30694	105392	 Venezuela
19904	108673	 Romania
7242	111129	 Hong Kong
9864	119731	 Hungary
11231	129615	 Belgium
15903	135175	 Ecuador
38012	137888	 Poland
35544	159390	 Canada
16865	168876	 Netherlands
50424	177023	 South Korea
64559	218632	 United Kingdom
127132	234755	 Japan
10870	285452	 Greece
60789	295015	 Italy
38934	295478	 Algeria
10997	339592	 Tunisia
45363	367047	 Ukraine
90729	369246	 Vietnam
30973	373325	 Peru
29902	373752	 Malaysia
75932	393308	 Turkey
42980	410986	 Argentina
47791	414783	 Colombia
17763	425596	 Chile
46476	426412	 Spain
10401	434721	 Portugal
80971	462011	 Germany
185044	493996	 Pakistan
33921	497306	 Morocco
125386	503093	 Mexico
66218	511145	 France
254455	780873	 Indonesia
89580	801106	 Egypt
206078	1021540	 Brazil
318857	1150963	 United States
143820	1521434	 Russia
78144	2631035	 Iran
1295292	3414582	 India
1364270	4456076	 China
