1	 Federated States of Micronesia
2	 Caribbean Netherlands
2	 Falkland Islands (Islas Malvinas)
2	 Lesotho
2	 Saint-Barthélemy
3	 Chad
3	 South Sudan
3	 Vanuatu
4	 São Tomé and Príncipe
5	 Burundi
5	 Guernsey
5	 Sierra Leone
6	 Saint Lucia
6	 Saint Vincent and the Grenadines
7	 Collectivity of Saint Martin
7	 Samoa
8	 San Marino
9	 Anguilla
9	 Cayman Islands
12	 Antigua and Barbuda
14	 Åland Islands
16	 The Gambia
18	 Guinea-Bissau
19	 Greenland
19	 Niger
21	 Mayotte
22	 Comoros
22	 Isle of Man
27	 Dominica
29	 British Virgin Islands
30	 Cape Verde
46	 Bermuda
47	 Liechtenstein
49	 Grenada
50	 Saint Kitts and Nevis
50	 The Bahamas
52	 U.S. Virgin Islands
56	 Swaziland
70	 Jersey
72	 Papua New Guinea
76	 Monaco
76	 Northern Mariana Islands
77	 Namibia
78	 Timor-Leste
81	 Solomon Islands
89	 Curaçao
102	 Faroe Islands
104	 Aruba
113	 Guam
158	 Malawi
160	 Angola
167	 Botswana
176	 Tajikistan
181	 Belize
181	 Somalia
192	 Equatorial Guinea
208	 Liberia
211	 Djibouti
215	 Laos
234	 French Polynesia
240	 Barbados
252	 Mali
259	 Bhutan
280	 New Caledonia
280	 Togo
297	 Andorra
356	 Afghanistan
396	 Martinique
438	 Maldives
457	 Guadeloupe
464	 Republic of the Congo
467	 Suriname
486	 Guyana
501	 Zambia
509	 Fiji
536	 Gibraltar
552	 Rwanda
629	 Uganda
669	 Gabon
765	 Turkmenistan
776	 Kyrgyzstan
829	 Sint Maarten
1026	 Mongolia
1030	 Honduras
1090	 Seychelles
1144	 Democratic Republic of the Congo
1162	 Mozambique
1165	 Reunion
1281	 French Guiana
1302	 Benin
1313	 Jamaica
1348	 Bahrain
1628	 Zimbabwe
1731	 Nicaragua
1779	 Madagascar
1852	 Mauritania
1992	 El Salvador
2077	 Brunei
2195	 Trinidad and Tobago
2282	 Cambodia
2594	 Georgia
2619	 Montenegro
3856	 Dominican Republic
4138	 Kenya
4449	 Ghana
4484	 Cyprus
4581	 Paraguay
4834	 Guinea
4860	 Macau
5173	 Tanzania
5753	 Azerbaijan
5824	 Iceland
5945	 Uzbekistan
5958	 Qatar
5978	 Burkina Faso
6002	 Guatemala
6075	 Libya
6321	 Kuwait
6387	 Myanmar (Burma)
6430	 Panama
6687	 Malta
6920	 Oman
7059	 Norway
7360	 New Zealand
7642	 Senegal
7668	 Lebanon
7776	 Macedonia (FYROM)
8072	 Estonia
8174	 Mauritius
8272	 Albania
8529	 Côte d'Ivoire
9065	 Yemen
10864	 Denmark
11021	 Cameroon
11893	 Nepal
11958	 Luxembourg
11994	 Moldova
12162	 Puerto Rico
13449	 Armenia
13580	 Bosnia and Herzegovina
14194	 Bolivia
14525	 Ethiopia
14575	 United Arab Emirates
15109	 Sudan
18435	 Cuba
20402	 Finland
20441	 South Africa
20940	 Kazakhstan
24702	 Israel
25019	 Nigeria
26690	 Costa Rica
26930	 Slovakia
27841	 Sri Lanka
28510	 Syria
29373	 Sweden
30073	 Uruguay
35693	 Latvia
40545	 Australia
40809	 Slovenia
44260	 Lithuania
58423	 Thailand
59091	 Taiwan
60256	 Bangladesh
61566	 Austria
63983	 Czech Republic
64397	 Serbia
67289	 Bulgaria
67420	 Jordan
71393	 Saudi Arabia
74381	 Ireland
74564	 Belarus
74909	 Singapore
75514	 Croatia
85187	 Iraq
92100	 Philippines
97632	 Switzerland
105392	 Venezuela
108673	 Romania
111129	 Hong Kong
119731	 Hungary
129615	 Belgium
135175	 Ecuador
137888	 Poland
159390	 Canada
168876	 Netherlands
177023	 South Korea
218632	 United Kingdom
234755	 Japan
285452	 Greece
295015	 Italy
295478	 Algeria
339592	 Tunisia
367047	 Ukraine
369246	 Vietnam
373325	 Peru
373752	 Malaysia
393308	 Turkey
410986	 Argentina
414783	 Colombia
425596	 Chile
426412	 Spain
434721	 Portugal
462011	 Germany
493996	 Pakistan
497306	 Morocco
503093	 Mexico
511145	 France
562692	 N/A
780873	 Indonesia
801106	 Egypt
1021540	 Brazil
1150963	 United States
1521434	 Russia
2631035	 Iran
3414582	 India
4456076	 China
