Country Code,2009 [YR2009]
AFG,..
ALB,..
DZA,..
ASM,..
ADO,3.16387
AGO,..
ATG,2.55447
ARG,4.89
ARM,3.84079
ABW,5.92467
AUS,5.0942
AUT,5.7674
AZE,3.22431
BHS,..
BHR,..
BGD,1.93942
BRB,5.32773
BLR,4.51672
BEL,6.39845
BLZ,6.10014
BEN,4.5508
BMU,2.61519
BTN,4.62672
BOL,8.0812
BIH,..
BWA,9.63293
BRA,5.47154
BRN,..
BGR,4.43296
BFA,..
BDI,6.31979
CPV,5.30896
KHM,..
CMR,3.46009
CAN,4.87313
CYM,..
CAF,1.30356
TCD,2.31174
CHI,..
CHL,4.24129
CHN,..
COL,4.74743
COM,..
ZAR,..
COG,..
CRI,..
CIV,..
HRV,4.38925
CUB,13.12516
CUW,..
CYP,7.30415
CZE,4.18041
DNK,8.48796
DJI,..
DMA,..
DOM,..
ECU,..
EGY,..
SLV,3.96954
GNQ,..
ERI,..
EST,5.95738
ETH,4.42207
FRO,..
FJI,4.49848
FIN,6.48518
FRA,5.73849
PYF,..
GAB,..
GMB,3.07235
GEO,3.22238
DEU,4.88767
GHA,5.31744
GRC,..
GRL,..
GRD,..
GUM,..
GTM,..
GIN,3.21608
GNB,..
GUY,3.36104
HTI,..
HND,..
HKG,4.39213
HUN,5.01172
ISL,7.3752
IND,3.21076
IDN,3.52513
IRN,4.45065
IRQ,..
IRL,6.20758
IMY,..
ISR,5.52088
ITA,4.53407
JAM,6.19928
JPN,..
JOR,..
KAZ,3.06072
KEN,..
KIR,..
PRK,..
KOR,4.66983
KSV,..
KWT,..
KGZ,6.23268
LAO,..
LVA,3.91929
LBN,1.77877
LSO,..
LBR,..
LBY,..
LIE,..
LTU,19.25768
LUX,..
MAC,2.56586
MKD,..
MDG,3.17751
MWI,..
MYS,5.97418
MDV,7.0041
MLI,4.39837
MLT,5.44377
MHL,..
MRT,..
MUS,3.15771
MEX,5.21749
FSM,..
MDA,9.50976
MCO,1.32877
MNG,5.14485
MNE,..
MAR,5.3758
MOZ,..
MMR,..
NAM,..
NPL,4.66376
NLD,5.49481
NCL,..
NZL,6.34519
NIC,..
NER,4.52603
NGA,..
MNP,..
NOR,7.09982
OMN,4.18775
PAK,2.59078
PLW,..
PAN,..
PNG,..
PRY,..
PER,3.13037
PHL,2.65295
POL,5.02705
PRT,5.56214
PRI,..
QAT,3.41315
ROM,4.23975
RUS,..
RWA,..
WSM,..
SMR,..
STP,10.20764
SAU,..
SEN,5.53451
SRB,4.75188
SYC,..
SLE,2.77814
SGP,3.03184
SXM,..
SVK,4.02503
SVN,5.56859
SLB,8.97326
SOM,..
ZAF,5.24869
SSD,..
ESP,4.86779
LKA,2.0559
KNA,..
LCA,3.76522
MAF,..
VCT,5.68978
SDN,2.21868
SUR,..
SWZ,7.0592
SWE,6.85779
CHE,5.05967
SYR,5.13014
TJK,4.09831
TZA,4.04365
THA,4.12553
TMP,11.46614
TGO,4.11576
TON,..
TTO,..
TUN,6.52848
TUR,..
TKM,..
TCA,..
TUV,..
UGA,3.25429
UKR,7.31088
ARE,..
GBR,5.3124
USA,5.24958
URY,..
UZB,..
VUT,5.01287
VEN,6.87468
VNM,..
VIR,..
WBG,..
YEM,..
ZMB,..
ZWE,..
,
,
,
,
,
