Country Code,GDP per capita (current USD),Total Population,Total Unemployment %,Life Expectancy at Birth,Internet Users (per 100 People)
AFG,633.5692469519,31627506,9.1000003815,60.3744634146,6.39
ALB,4564.3903386929,2894475,16.1000003815,77.8304634146,60.1
DZA,5484.0668056148,38934334,9.5,74.808097561,18.09
ASM,,55434,,,
ADO,,72786,,,95.9
AGO,,24227524,6.8000001907,52.2668780488,21.26
ATG,13432.0793301552,90900,,75.9376341463,64
ARG,12509.5311180615,42980026,8.1999998093,76.1586097561,64.7
ARM,3873.5335658068,3006154,17.1000003815,74.6757073171,46.3
ABW,,103441,,75.451097561,83.78
AUS,61979.8962947626,23470118,6,82.2512195122,84.56
AUT,51122.4253136062,8545908,5,81.3365853659,81
AZE,7886.4591436727,9535079,5.1999998093,70.7632195122,61
BHS,22217.4941392075,383054,15.3999996185,75.2336585366,76.92
BHR,24855.2156350086,1361930,3.9000000954,76.6832682927,90.99998
BGD,1086.8070785352,159077513,4.3000001907,71.625902439,9.6
BRB,15366.2926106288,283380,12,75.4964146341,76.67
BLR,8040.0475569713,9470000,5.9000000954,72.9756097561,59.02
BEL,47327.6204608156,11231213,8.5,80.587804878,85
BLZ,4831.1775518618,351706,11.5,70.0774390244,38.7
BEN,903.4649240077,10598482,1,59.5105853659,5.3
BMU,,65181,,80.7973170732,96.8
BTN,2560.5011541718,765008,2.7999999523,69.4712439024,34.37
BOL,3124.0807621235,10561887,2.7000000477,68.344,39.02
BIH,4851.6603501811,3817554,27.8999996185,76.4332439024,60.8
BWA,7123.3392413015,2219937,18.2000007629,64.4292439024,18.5
BRA,11726.8058803488,206077898,6.8000001907,74.4018780488,57.6
BRN,40979.6419433378,417394,3.7999999523,78.8095853659,68.77
BGR,7851.2654280423,7223938,11.6000003815,75.4073170732,55.49
BFA,713.0638896588,17589198,3.0999999046,58.5884634146,9.4
BDI,286.002335873,10816860,6.9000000954,56.6920243902,1.38
KHM,1094.576687779,15328136,0.400000006,68.2122926829,9
CMR,1407.4034132223,22773014,4.3000001907,55.4927560976,11
CAN,50230.8076901423,35543658,6.9000000954,81.9566097561,87.12
CPV,3641.1076558658,513906,9.1999998093,73.147,40.26
CYM,,59172,,,74.1
CAF,358.5378358576,4804316,7.4000000954,50.6577804878,4.03
TCD,1024.6684517087,13587053,7,51.555804878,2.5
CHI,,162917,,80.6064878049,
CHL,14528.3258112673,17762647,6.4000000954,81.496195122,72.35
CHN,7590.0164405436,1364270000,4.6999998093,75.7822682927,49.3
COL,7903.9257731165,47791393,10.1000003815,73.9931463415,52.57
COM,810.0757667622,769991,6.5,63.2568536585,6.98
ZAR,442.3395393673,74877030,8,58.659195122,3
COG,3147.0721606121,4504962,6.5,62.3111463415,7.11
CRI,10415.4443817218,4757606,8.3000001907,79.4027073171,49.41
CIV,1545.942249248,22157107,4,51.5595853659,14.6
HRV,13475.2589621781,4238389,16.7000007629,77.3292682927,68.57
CUB,,11379111,3.2999999523,79.3908292683,30
CUW,,155909,,77.8243902439,
CYP,27194.3918374826,1153658,15.6000003815,80.1315609756,69.33
CZE,19502.4173306083,10525347,6.1999998093,78.2756097561,79.71
DNK,60718.3926958809,5638530,6.5999999046,80.5487804878,95.99
DJI,1813.5965663026,876174,,62.0155121951,10.71
DMA,7244.4958470864,72341,,,62.86
DOM,6163.5758566516,10405943,15,73.5000243902,49.58
ECU,6345.8407250595,15902916,4.5999999046,75.8724878049,43
EGY,3365.7074205748,89579670,13.1999998093,71.1217073171,31.7
SLV,4119.9920231917,6107706,6.1999998093,72.7545609756,29.7
GNQ,18918.2768313328,820885,7.9000000954,57.6470487805,18.86
ERI,,5110444,7.1999998093,63.6630243902,0.99
EST,20147.7782167553,1314545,7.6999998093,77.2390243902,84.24
ETH,573.5659603461,96958732,5.1999998093,64.0350243902,2.9
FRO,,48221,,81.6926829268,94.66
FJI,5112.3221174052,886450,7.9000000954,70.0891219512,41.8
FIN,49842.7130622895,5461512,8.6000003815,81.1292682927,92.38
FRA,42725.7394894127,66217509,9.8999996185,82.3731707317,83.75
PYF,,279781,,76.5416829268,60.68
GAB,10772.0617537637,1687673,19.7000007629,64.3833902439,9.81
GMB,441.2934114986,1928201,7,60.2284390244,15.56
GEO,4435.1926985255,3727000,13.3999996185,74.6686341463,48.9
DEU,47773.9441928693,80970732,5,80.843902439,86.19
GHA,1441.6364531117,26786598,2.4000000954,61.3116341463,18.9
GRC,21672.6717735205,10869637,26.2999992371,81.2853658537,63.21
GRL,43364.8828499176,56295,,,66.7
GRD,8573.6940673666,106349,,73.3663170732,37.38
GUM,,167543,,79.1260243902,69.27
GTM,3673.1358425127,16015494,2.9000000954,71.7224146341,23.4
GIN,539.6157749888,12275527,1.7999999523,58.7334390244,1.72
GNB,567.8226102976,1800513,6.9000000954,55.1600487805,3.32
GUY,4053.9019037796,763893,11.1000003815,66.4064146341,37.35
HTI,824.1597732045,10572029,6.8000001907,62.7474390244,11.4
HND,2434.8271619068,7961680,3.9000000954,73.1357073171,19.08
HKG,40169.5436383441,7241700,3.2000000477,83.9804878049,74.56
HUN,14026.574374109,9863183,7.8000001907,75.8731707317,76.13
ISL,52036.7318144531,327386,5,82.0609756098,98.16
IND,1581.5107030877,1295291543,3.5999999046,68.013804878,18
IDN,3491.9297173714,254454778,6.1999998093,68.8884878049,17.14
IRN,5442.8747707604,78143644,12.8000001907,75.3893170732,39.35
IRQ,6420.139809101,34812326,16.3999996185,69.3996829268,11.3
IRL,54339.3175599219,4615693,11.6000003815,81.1536585366,79.69
IMY,,87127,,,
ISR,37206.1829418069,8215700,6.0999999046,82.1536585366,71.45
ITA,35222.7606011111,60789140,12.5,82.6902439024,61.96
JAM,5106.0774635319,2720554,13.1999998093,75.6535121951,40.5
JPN,36194.4156134427,127131800,3.7000000477,83.587804878,90.58
JOR,5422.5708755332,6607000,11.1000003815,74.0521463415,44
KAZ,12601.6211150605,17289224,4.0999999046,71.62,54.89
KEN,1358.2622185563,44863583,9.1999998093,61.5763658537,43.4
KIR,1509.5211865705,110470,,65.9516829268,12.25
PRK,,25026772,4.0999999046,70.0746829268,0
KOR,27970.4951469293,50423955,3.5,82.1558536585,84.33
KSV,4051.6483607707,1823149,,71.0975609756,
KWT,43593.7020176514,3753121,3,74.5850243902,78.7
KGZ,1268.8566035996,5835500,8.1000003815,70.4024390244,28.3
LAO,1793.4704941761,6689300,1.3999999762,66.1173658537,14.26
LVA,15692.1915611781,1993782,10,74.187804878,75.83
LBN,10057.8883563669,4546774,6.4000000954,79.373097561,74.7
LSO,1034.1852875122,2109197,26.2000007629,49.7005853659,11
LBR,457.8585865203,4396554,3.7999999523,60.8344146341,5.41
LBY,6573.386737262,6258984,19.2000007629,71.7161219512,17.76
LIE,,37286,,82.2609756098,95.21
LTU,16489.7289835331,2932367,11.3000001907,73.9658536585,72.13
LUX,116612.884151875,556319,6.0999999046,82.2073170732,94.67
MAC,96038.0507240687,577914,1.5,80.553097561,69.78
MKD,5455.5948890016,2075625,27.8999996185,75.3423902439,68.06
MDG,449.4008297456,23571713,3.5999999046,65.0856097561,3.7
MWI,255.0445695732,16695253,7.5,62.7216341463,5.83
MYS,11307.064952828,29901997,2,74.7182926829,67.5
MDV,7635.4841513313,401000,11.6000003815,76.7728292683,49.28
MLI,704.5074400243,17086022,8.1000003815,57.9862682927,7
MLT,,427364,5.9000000954,81.7463414634,73.17
MHL,3529.7483033974,52898,,,16.8
MRT,1274.9769489686,3969625,31,63.0165853659,10.7
MUS,10016.6486405725,1260934,7.6999998093,74.1943902439,41.44
MEX,10325.6460658759,125385833,4.9000000954,76.7218536585,44.39
FSM,3057.0910247179,104044,,69.1010731707,29.65
MDA,2238.9017737728,3556397,3.4000000954,71.4558780488,46.6
MCO,,37623,,,92.4
MNG,4129.3735483622,2909871,4.8000001907,69.463902439,27
MNE,7378.3452890295,621810,19.1000003815,76.1807073171,61
MAR,3190.3104441402,33921203,10.1999998093,74.016097561,56.8
MOZ,585.6226826367,27216276,22.6000003815,55.0259512195,5.94
MMR,1203.8446629383,53437159,3.2999999523,65.8578536585,2.1
NAM,5408.2434909387,2402858,18.6000003815,64.680195122,14.84
NPL,701.6800633995,28174724,2.7000000477,69.6046829268,15.44
NLD,52138.6839244096,16865008,6.9000000954,81.3048780488,93.17
NCL,,266000,,77.5731707317,70
NZL,44342.1644241792,4509700,5.5999999046,81.4048780488,85.5
NIC,1963.0548840336,6013913,5.3000001907,74.8101463415,17.6
NER,427.3732403154,19113728,5.0999999046,61.4584878049,1.95
NGA,3203.2968244943,177475986,7.5,52.7542682927,42.68
MNP,,54541,,,
NOR,97299.636068076,5136886,3.4000000954,81.7512195122,96.3
OMN,19309.6124499023,4236057,7.1999998093,77.085097561,70.22
PAK,1316.6141096974,185044286,5.1999998093,66.1833658537,13.8
PLW,11879.6778117315,21097,,,
PAN,11948.8511416186,3867535,4.3000001907,77.5951463415,44.92
PNG,2268.1587169891,7463577,2.5,62.6069268293,9.38
PRY,4712.8233115125,6552518,4.5,72.9217073171,43
PER,6541.0305636068,30973148,4.1999998093,74.5255365854,40.2
PHL,2872.5121647166,99138690,7.0999999046,68.2656341463,39.69
POL,14336.7977208633,38011735,9.1999998093,77.2536585366,66.6
PRT,22124.3669649875,10401062,14.1999998093,80.7219512195,64.59
PRI,,3548397,14.3000001907,79.3747317073,78.78
QAT,96732.4025450739,2172065,0.3000000119,78.596804878,91.49
ROM,10000.0026233174,19904360,7,75.0634146341,54.08
RUS,12735.9184024927,143819569,5.0999999046,70.3658536585,70.52
RWA,695.6892586009,11341544,0.6000000238,63.9656585366,10.6
WSM,4172.2171003766,191845,,73.5118292683,21.2
SMR,,31595,,,
STP,1810.7215665104,186342,,66.3846097561,24.41
SAU,24406.4764554706,30886545,5.5999999046,74.3372195122,63.7
SEN,1067.131753327,14672557,10,66.3725853659,17.7
SRB,6152.9206337474,7129366,22.2000007629,75.5341463415,53.5
SYC,15564.641970499,91400,,73.2292682927,54.26
SLE,765.9591972967,6315627,3.2999999523,50.8787804878,2.1
SGP,56284.3314404291,5469724,3,82.6463414634,82
SXM,,37685,,,
SVK,18500.6646092218,5418649,13.3000001907,76.7146341463,79.98
SVN,24001.9013862278,2061980,9.5,80.5195121951,71.59
SLB,2024.1904146843,572171,3.9000000954,67.930804878,9
SOM,542.6158839557,10517569,6.9000000954,55.354804878,1.63
ZAF,6483.8545747284,54001953,25.1000003815,57.1821219512,49
SSD,1115.0935156088,11911184,,55.6822195122,15.9
ESP,29721.6014855933,46476032,24.7000007629,83.0780487805,76.19
LKA,3794.8875863911,20771000,4.5999999046,74.794804878,25.8
KNA,15510.3939262063,54944,,,65.4
LCA,7647.5295478495,183645,,75.0468536585,51
MAF,,31530,,79.3219512195,
VCT,6668.886105015,109360,,72.9368536585,56.48
SDN,1875.8432874165,39350274,14.8000001907,63.4585365854,24.64
SUR,9680.1159136737,538248,5.5999999046,71.1514390244,40.08
SWZ,3477.1492429559,1269112,22.2999992371,48.9347317073,27.1
SWE,58898.9275256779,9696110,8,81.956097561,92.52
CHE,85616.5611964835,8188102,4.5,82.8487804878,87
SYR,,22157800,10.8000001907,70.0710243902,28.09
TJK,1114.007483342,8295840,10.8999996185,69.5979756098,17.49
TZA,955.1413113922,51822621,3.0999999046,64.943902439,4.86
THA,5977.3805871146,67725979,0.8999999762,74.4220243902,34.89
TMP,1169.0387069788,1212107,4.6999998093,68.2591463415,1.14
TGO,635.0442676625,7115163,6.9000000954,59.655804878,5.7
TON,4113.9934930679,105586,,72.792195122,40
TTO,21323.754712196,1354483,4,70.4405609756,65.1
TUN,4420.6984351606,10996600,13.3000001907,74.143902439,46.16
TUR,10515.007820334,75932348,9.1999998093,75.1635121951,51.04
TKM,9031.5115696978,5307188,10.5,65.5985365854,12.2
TCA,,33740,,,
TUV,3826.9029012988,9893,,,
UGA,714.5673454013,37782971,3.7999999523,58.4664146341,17.71
UKR,3082.4614470702,45362900,7.6999998093,71.1865853659,43.4
ARE,43962.7136932011,9086139,3.5999999046,77.3681707317,90.4
GBR,46296.9846725052,64559135,6.3000001907,81.056097561,91.61
USA,54629.4951678912,318857056,6.1999998093,78.9414634146,87.36
URY,16806.7732671439,3419516,7,76.9861463415,61.46
UZB,2036.6917234305,30757700,10.6000003815,68.3390243902,43.55
VUT,3147.9637788925,258883,,71.9183170732,18.8
VEN,,30693827,8.6000003815,74.236195122,57
VNM,2052.3190838009,90728900,2.2999999523,75.6291219512,48.31
VIR,,104170,,79.7731707317,50.07
WBG,2965.9036745951,4294682,26.2000007629,72.9040243902,53.67
YEM,,26183676,17.3999996185,63.818195122,22.55
ZMB,1721.6232741122,15721343,13.3000001907,60.0470487805,17.34
ZWE,931.1981869586,15245855,5.4000000954,57.4983170732,19.89
ARB,7446.7669199684,385272539,11.5246568678,70.5332693097,34.5173747337
CSS,10165.3326281428,7012857,10.4051788239,72.8446998092,49.2739489479
EAS,9482.0797327263,2264058207,4.5221502409,74.9285246169,46.8912750396
EAP,6240.4071477738,2020656037,4.5837861102,73.985723037,42.1320603779
EMU,39639.8123622324,338302110,11.5260280476,81.6481033605,78.3000360116
ECS,25703.245825993,901978575,9.0069077569,76.8931116309,69.2034365478
ECA,6895.6690382066,263565607,9.2627727264,72.7091078819,48.1822381678
EUU,36447.8550869944,507962837,10.2073359679,80.6728746791,78.1021476801
HPC,898.0442810245,701714118,6.5964140126,60.7854836139,8.8652911821
HIC,37792.7561528723,1398429060,7.165141909,79.2404621229,80.6075498547
OEC,43697.2196239015,1069655987,7.4826800492,80.8846106048,83.8455755786
NOC,18617.6136492259,328773073,6.0501844777,73.8826972688,69.8993263469
LCN,9985.3064025717,626269527,6.5773602094,74.9420601757,50.1533204189
LAC,9225.603363969,525172706,6.3056614898,74.6275211492,47.466033327
LDC,951.999439311,931955068,6.1263179001,63.1904459419,8.6363921502
LMY,4290.6113311149,5861262709,5.6165483509,69.5940790227,31.1365897394
LIC,639.6519620419,621977594,5.7124740405,61.325097296,6.2909866251
LMC,2008.3843157096,2878467298,5.3087122648,67.2282647562,22.555151452
MEA,8432.3295476394,417451788,11.2691864894,72.8166596303,38.2614233289
MNA,4356.8756359945,357312867,12.8887794707,72.2250608815,32.6617750664
MIC,4723.6307735074,5239285115,5.6058159539,70.5757643162,34.0523027842
NAC,54194.6053820553,354465895,6.2763852498,79.2441449936,87.3379213412
INX,,,,,
OED,38422.5838587063,1270974168,7.3280784962,80.1321427681,78.0513737077
OSS,4799.4063168169,20937048,14.0599058309,62.286620696,18.392568245
PSS,3760.707986468,2313337,,69.9190322185,26.6331225128
SST,5963.445999493,30263242,12.743997947,65.271922179,26.3799180756
SAS,1504.0433104744,1721152580,3.898770718,68.1210445968,16.6099246937
SSF,1791.2494583042,974315197,7.9691534231,58.5589350669,19.2212447812
SSA,1775.546494709,973402912,7.9692312137,58.5583265679,19.2181330694
UMC,8030.3310439836,2360817817,5.8825822795,74.6576260859,47.7213465385
WLD,10738.831492412,7259691769,5.9319980107,71.4517450293,40.6891366054
